lag_px,horizontal_corr,vertical_corr
1,0.8713364128436553,0.9715575135637492
2,0.7532808306295028,0.9240521049286124
3,0.7013007258207612,0.8744485647473358
4,0.6616391833681776,0.8255804836381674
5,0.6295453062079244,0.7792125364493919
6,0.6092338826959912,0.73479638867464
7,0.5771895932056514,0.6882237153919063
8,0.5345089739477449,0.6297079238112971
9,0.4839878075011944,0.5744841872770637
10,0.40987268227553625,0.5222275958367687
11,0.3449115125007315,0.47312587866700867
12,0.29525253298145965,0.4277282866380675
13,0.24224728825773856,0.3853836224537481
14,0.1945096160780765,0.3421128749989639
15,0.14875053059830123,0.29917947471078277
16,0.11674159960809433,0.25901777646893787
17,0.08851101617651262,0.22067030437253515
18,0.07275164963267276,0.186948307018848
19,0.0664127954364341,0.15899176132770973
20,0.060441340370405286,0.13476213726284086
21,0.07453091080399196,0.11407079081454993
22,0.11887151984107423,0.09367281477401351
23,0.12404661955265521,0.07425862231834232
24,0.07584192371151646,0.05717410285567052
25,0.03672792956872096,0.043219715615813926
26,0.021360272846486162,0.03551719949132496
27,0.011730466232894102,0.03197158220494087
28,0.0017100956768736411,0.028494248040969675
29,-0.008676915953651177,0.02499709068640559
30,-0.01867067248953476,0.02185963881632987
31,-0.02537894812947823,0.02101777041365996
32,-0.028033963089544367,0.025068138361541294
33,-0.040353615497354896,0.028715955012499354
34,-0.04655131514642263,0.03238466622841808
35,-0.04641586127334536,0.03576174134957957
36,-0.05028912714746411,0.03827577046111867
37,-0.05342926629201306,0.04192395846859469
38,-0.05742248449331848,0.04689662938198913
39,-0.05822025211938486,0.053669852081641135
40,-0.053634753233184035,0.061513393762602474
41,-0.05007262790503667,0.07034323900344633
42,-0.04962955861489578,0.08036896041126365
43,-0.04550826092041965,0.08947782203909965
44,-0.022320554123448442,0.09603008684024704
45,-0.009463631019518816,0.10258284656162507
46,-0.002048278226041743,0.10914519330283777
47,-0.011165831012626557,0.11684642740854026
48,-0.016202039993774002,0.1278216001870751
49,-0.024868471571136724,0.14047684640147384
50,-0.027500049291791433,0.15309152382843147
51,-0.031042329438564716,0.16358220280345445
52,-0.03379436270386413,0.16978362260136487
53,-0.033069087182793375,0.17190501925038437
54,-0.031091387306551813,0.1723533005946688
55,-0.03105903869870977,0.17162395038289632
56,-0.03102351524459039,0.17001609041040705
57,-0.0292902957629915,0.16783666258196242
58,-0.025514807330792547,0.1658194736586911
59,-0.017542316146691186,0.1639113718596105
60,-0.009914296618172398,0.16119190254973442
61,-0.009254647430357161,0.15742605268193083
62,-0.007263829436965809,0.1506546748176334
63,-0.005701007351133379,0.14009504423862512
64,-0.009661050534221982,0.12964556414779657
