period_px,observed_MI_bits,permutation_bias_bits,bias_corrected_MI_bits,corrected_MI_over_residual_entropy
2,0.00514706099617257,0.0023113503677472855,0.0028357106284252844,0.0011267644233115795
3,0.006145897713674131,0.006374682187187434,0.0,0.0
4,0.02006493050248359,0.011559370841167352,0.008505559661316239,0.0033796685496246285
5,0.01761871956223171,0.01781706405532694,0.0,0.0
6,0.026485361966648746,0.023462646560751626,0.00302271540589712,0.001201070429055746
7,0.0301383099277146,0.030047999819681575,9.031010803302666e-05,3.588455598290285e-05
8,0.049342135528098297,0.03618957714531312,0.013152558382785173,0.0052261449785094985
9,0.041925785305481966,0.04227744287149152,0.0,0.0
10,0.05070035275096352,0.04776686627467915,0.002933486476284365,0.0011656154773374682
11,0.05345554604967795,0.05338535663412299,7.018941555495678e-05,2.7889635686937466e-05
12,0.06756967154898064,0.05881581068539473,0.008753860863585906,0.0034783305774699447
13,0.0640616626530317,0.06396077436531418,0.00010088828771752378,4.0087776301792554e-05
14,0.07195752658400068,0.06936508056381108,0.0025924460201895982,0.0010301036768788543
15,0.0745363939566559,0.07445528038979117,8.111356686472948e-05,3.2230327197326106e-05
16,0.09857437577329797,0.07924100793530246,0.01933336783799551,0.007682078292574845
17,0.08419435332892533,0.08413782025732235,5.653307160298493e-05,2.2463312435423946e-05
18,0.09121663531420587,0.08885562215021577,0.0023610131639901083,0.0009381442554424787
19,0.09302837438633027,0.09346569847971509,0.0,0.0
20,0.106431222521147,0.09778646210321125,0.008644760417935757,0.003434979715257924
21,0.10201647497368249,0.1022660714350702,0.0,0.0
22,0.10941416403936977,0.10655083331381061,0.0028633307255591517,0.0011377392183089569
23,0.11101201670731697,0.11126955739644136,0.0,0.0
24,0.12856257871406207,0.11573682087455121,0.012825757839510857,0.005096291381323217
25,0.12033003196150993,0.11928824371582536,0.0010417882456845717,0.0004139526509139673
26,0.12620349805412445,0.12418226546273796,0.002021232591386493,0.0008031330673810245
27,0.12853098437475374,0.12824232108502484,0.0002886632897289021,0.0001146998293557299
28,0.14029695574878254,0.1326220836133345,0.007674872135448041,0.003049596383002757
29,0.1358828464896753,0.1367933529284476,0.0,0.0
30,0.14345317974881056,0.14097271727342667,0.0024804624753838878,0.0009856072204990783
31,0.1443273017065465,0.144877146029879,0.0,0.0
32,0.16807746828903092,0.14944079779019978,0.018636670498831137,0.007405246881175795
33,0.15336782577151098,0.15352626311947168,0.0,0.0
34,0.16076394503345348,0.1576856925139977,0.0030782525194557875,0.0012231379993868103
35,0.16148544192269654,0.16156403822416898,0.0,0.0
36,0.173789341197768,0.16576198621512184,0.008027354982646173,0.0031896547966043516
37,0.16971769895869038,0.16968639006575495,3.130889293542771e-05,1.2440531251420914e-05
38,0.17666281016412455,0.1742767457658522,0.002386064398272353,0.0009480983174918041
39,0.17890244716606674,0.17803116456400817,0.0008712826020585707,0.00034620254577777854
40,0.1959419651321479,0.1822808853542431,0.013661079777904789,0.005428205023272155
41,0.18632031066750976,0.1869081434577821,0.0,0.0
42,0.19302385682629364,0.19083373505962165,0.002190121766671993,0.0008702408717834117
43,0.1945081662355399,0.19514493641350938,0.0,0.0
44,0.20716939990387573,0.19930527433018833,0.007864125573687403,0.0031247958899834555
45,0.20291355559990265,0.203698080561488,0.0,0.0
46,0.20969678887840715,0.20793196040468587,0.0017648284737212805,0.0007012513609474621
47,0.2124154114854626,0.21251127492732222,0.0,0.0
48,0.2349563475840064,0.21590619529131297,0.01905015229269344,0.007569543114487096
49,0.22188090226851642,0.22000815055696124,0.0018727517115551817,0.0007441344617902878
50,0.22833022030791383,0.22595292009719495,0.0023773002107188856,0.0009446158836230278
51,0.22877116239693152,0.22986516448965708,0.0,0.0
52,0.2409791110259274,0.23426347504118775,0.0067156359847396485,0.002668445655795882
53,0.23772855431959883,0.2386255907702163,0.0,0.0
54,0.24485372645453296,0.2420010569258834,0.0028526695286495707,0.001133503011247764
55,0.2473821413820385,0.2471278945969105,0.0002542467851280039,0.00010102449430203787
56,0.2637785147360354,0.2513299448766742,0.012448569859361214,0.004946416428402022
57,0.2560660105135675,0.2558450357415219,0.00022097477204557903,8.780392085655466e-05
58,0.26218921972685294,0.2603482829460629,0.001840936780790059,0.0007314928573342759
59,0.26446041656090813,0.2640334367145763,0.00042697984633183195,0.0001696596597322482
60,0.2786829444994101,0.2694120030268798,0.009270941472530325,0.003683791610165795
61,0.2755504894441678,0.27408630567600173,0.001464183768166094,0.0005817907379625682
62,0.2810027704544851,0.27807138875708937,0.0029313816973957074,0.0011647791473019195
63,0.28251498938018926,0.2815001314277457,0.0010148579524435486,0.00040325194822972204
64,0.3072677343806909,0.2871359698939333,0.020131764486757575,0.007999319738334017
