radius_bin,mean_power
0,0.026909117824146376
1,0.03199987992174036
2,0.004661715072192003
3,0.0014184594211095638
4,0.0009421450512059753
5,0.0006819792314341403
6,0.0005097513029620473
7,0.000385437740764701
8,0.00032436828305856195
9,0.00026959403010324125
10,0.00021072540572190864
11,0.0001807874847893537
12,0.0001586676455914142
13,0.00014005993708412218
14,0.00013204951614183538
15,0.0001369701485822693
16,0.00015070072598793514
17,0.0001391546626482232
18,0.0001300615099258246
19,0.0001363267985193028
20,0.00014526177813363426
21,0.00015386166397640875
22,0.0001601420306648652
23,0.0001515586017449755
24,0.00014643042992674573
25,0.00014182371349614993
26,0.00011971041145161786
27,0.00012830519131146076
28,0.0001384635390825715
29,0.00011841536837218579
30,0.00010555064369762682
31,0.00011284359369698188
32,0.0001220511104518808
33,0.00011481987396921666
34,0.000107065257931927
35,0.00010477703373034692
36,9.814376709054354e-05
37,9.712621703505596e-05
38,9.803722081904316e-05
39,9.896149810820405e-05
40,9.688024609145347e-05
41,8.861415037936847e-05
42,8.861508644125634e-05
43,9.576264736881732e-05
44,0.00011513003525117072
45,0.00014351231283249327
