lag_px,horizontal_corr,vertical_corr
1,-0.14633734166235154,-0.09827336756212685
2,-0.03702573441542283,0.02157234028553958
3,0.031714870524362275,-0.08623345974370349
4,-0.005052191800990813,0.06143333202889328
5,0.055806129218671896,0.012283627142749309
6,0.07599963158858661,0.06247666379416358
7,-0.006515104779542222,-0.0020046263192940042
8,0.0015988179320455223,0.023535970844357115
9,0.009258269762567974,0.004848247932180546
10,0.0021654976686578454,0.028192646567751948
11,0.019168478508297407,-0.00855028881020301
12,0.029002807281127547,0.016319558254497463
13,0.0037108743723734887,0.013138051834779006
14,-0.005171094688047169,0.011955062958772258
15,-0.00026073018632168066,0.018080702307132823
16,-0.006687482756274581,-0.003966576962230528
17,0.03536255953047225,0.0176975369986983
18,0.03185948728277714,0.011098488335455101
19,-0.008379736809929848,0.004199983330878981
20,-0.001617316176336279,0.001867494138848535
21,-0.006693400532194239,0.016781405884106163
22,-0.003060752021960126,-0.013423973982009738
23,0.04556730341127546,0.040400454283635194
24,0.01131844623978192,-0.009348389820966077
25,-0.0032587969909197404,0.012902884494336334
26,-0.011261908867749939,-0.009576729071375268
27,-0.011234538009125486,0.02517277889626561
28,0.0006893379519834719,-0.01789407808511747
29,0.04233901832290951,0.03543768243879514
30,0.006807738844881753,-0.01491250043145507
31,-0.0012908156790890982,0.016797748709804796
32,-0.015258355856489584,-0.006171365743455255
33,-0.009479435391482828,0.02103622637166697
34,0.009825878467489712,-0.0095047887464192
35,0.04664593268351104,0.053388812515278036
36,0.002460331776385455,-0.021203001881129915
37,-0.006502935639483448,0.008961747763460402
38,-0.00704030230237827,-0.00525264263965083
39,-0.010444426206859968,0.0038633753558886463
40,0.01474096869326453,-0.0018920642933465113
41,0.043313292607340646,0.033220064238700504
42,-0.004004928848172772,-0.007619016158012896
43,-0.0018255506221829395,0.005286920305410809
44,-0.013529597801671563,-0.006603188593562676
45,-0.008240515946501693,-0.003668154778426738
46,0.028694270424154903,0.013579900975670921
47,0.03758231363191026,0.0278296920706225
48,-0.007640998221944006,-0.006592624144318919
49,-0.008414118853205673,-0.001092417339118062
50,-0.008360696210173137,0.0005605917996353937
51,-0.00350409301310676,-0.0074293040297273875
52,0.03593930411135018,0.015273571251161222
53,0.021420878921344904,6.806865849861245e-05
54,-0.008529615824201218,0.00630286888912133
55,-0.014490600427376784,-0.006403455356671147
56,-0.009377900992681622,0.00946416019959395
57,4.792363579432307e-05,-0.017172507499858283
58,0.039789347227370216,0.048566907653563994
59,0.012716013312387236,-0.011700119680013919
60,-0.005797625001071568,0.008873832095026967
61,-0.013473680371928929,-0.015778016840833103
62,-0.007967730675757017,0.0153611398939131
63,-0.0030361881189832707,-0.015776109671891095
64,0.051401219782858186,0.03700515179486715
