x,y,mean_flat_probability,residual_rms,residual_std,mean_abs_residual
0,0,0.9584303028490142,0.0055760636903360175,0.0055760636903360175,0.0043555499728612935
64,0,0.9565053337057343,0.00498288683397463,0.00498288683397463,0.0038072702020365747
128,0,0.9383939250174196,0.005621853932548619,0.005621853932548619,0.0043671600062330515
192,0,0.9325996236226719,0.006063647634000804,0.006063647634000803,0.004835074242108786
256,0,0.9600182961218404,0.005367268100945671,0.005367268100945671,0.004228857925008918
320,0,0.974514144538609,0.005289122780775023,0.005289122780775023,0.004164036284839153
384,0,0.9641252776374692,0.005772511892529603,0.005772511892529603,0.004582203420641909
448,0,0.9503525879279349,0.006171065110743927,0.006171065110743927,0.004854408783608021
512,0,0.9162852102595723,0.0064670203770704785,0.0064670203770704785,0.005002330283165891
576,0,0.906198280992565,0.005895947326339955,0.005895947326339955,0.0044998928018882035
640,0,0.9227959003625437,0.005635328526598086,0.005635328526598086,0.0043833452491708405
704,0,0.9331985617769006,0.005911198655018943,0.005911198655018943,0.004675190462193733
768,0,0.9511576969336715,0.005681501949783003,0.005681501949783003,0.004509053634467303
832,0,0.9479920391863821,0.0057827499702431335,0.0057827499702431335,0.004602971866363641
896,0,0.9338239251612535,0.006058831724482162,0.006058831724482162,0.0048329224432743295
960,0,0.9349570713743725,0.005874393136867928,0.005874393136867928,0.004656998679632566
1024,0,0.9427932060089314,0.005880114063925688,0.005880114063925688,0.004670133162891568
1088,0,0.9345800118311625,0.006941384584833929,0.006941384584833929,0.005290905088754157
1152,0,0.9370951208238598,0.006955824982393114,0.006955824982393114,0.005271805479474546
1216,0,0.9474618764913448,0.005945306779727608,0.005945306779727608,0.004683481529176926
1280,0,0.9370946620170196,0.005846549559018229,0.005846549559018229,0.004629462539680296
1344,0,0.9287594582406415,0.005932012502527837,0.005932012502527837,0.004680585504908118
1408,0,0.920829997155772,0.005991638947274552,0.005991638947274552,0.004733134398938027
1472,0,0.9074598023698908,0.005964417796001908,0.005964417796001908,0.004725843239474511
1536,0,0.911224961662289,0.006032553482746349,0.006032553482746349,0.0047758845086013565
1600,0,0.9134166264451684,0.006155001135720434,0.006155001135720434,0.004902923018487616
1664,0,0.9212723905559197,0.005996366330281155,0.005996366330281155,0.004772761369512005
1728,0,0.9343949377531147,0.005899437174674622,0.005899437174674622,0.004670395624154197
1792,0,0.9300167889052193,0.005877602156341226,0.005877602156341226,0.004652144961821477
1856,0,0.9300117375870681,0.0059238451681538525,0.0059238451681538525,0.004714915618373864
1920,0,0.9342510719879292,0.005983130127199759,0.005983130127199759,0.0047751573203793675
0,64,0.9500673164852297,0.005906982409263344,0.005906982409263344,0.004695399112060345
64,64,0.9300433210541574,0.005692324827274151,0.005692324827274151,0.004453135594725202
128,64,0.926848733975525,0.005733296107629929,0.005733296107629929,0.004491735882708773
192,64,0.9387790699973098,0.005916128404171674,0.005916128404171674,0.0047033514636597405
256,64,0.9486028164461828,0.005632348208238269,0.005632348208238269,0.004444286449177389
320,64,0.9567472623576005,0.005496526711466364,0.005496526711466364,0.004326080773320489
384,64,0.9547022079945235,0.005767876566928665,0.005767876566928665,0.004572991372416901
448,64,0.9567633875647805,0.0059053378575722884,0.0059053378575722884,0.004698075569094936
512,64,0.9539415612687354,0.00585863199202114,0.00585863199202114,0.0046675528526075385
576,64,0.9486091944824718,0.00549130331103015,0.00549130331103015,0.004326622149706395
640,64,0.9410641905303532,0.005522212527392864,0.005522212527392864,0.004348002750501711
704,64,0.9350340384573906,0.005939861882334515,0.005939861882334515,0.004727630097282006
768,64,0.9492482853441293,0.006009918443235147,0.006009918443235147,0.004782562094165159
832,64,0.9504516163391796,0.005982582422349522,0.005982582422349522,0.0047585660028730305
896,64,0.9441975287985076,0.005954814524837298,0.005954814524837298,0.004746372986729509
960,64,0.9417543763804956,0.005920915261230621,0.005920915261230621,0.004710415253460104
1024,64,0.9406782448618356,0.005976697436654531,0.005976697436654531,0.0047471146087758025
1088,64,0.9478673208175995,0.005988161629020768,0.005988161629020768,0.004762456974478881
1152,64,0.9567200250389283,0.005911344115628744,0.005911344115628744,0.004728213996340258
1216,64,0.9592412139812351,0.005659218989317436,0.005659218989317436,0.004500929843255304
1280,64,0.9521491466532319,0.005550361267985975,0.005550361267985975,0.004377839431224339
1344,64,0.9495426711742256,0.005715972300204444,0.005715972300204444,0.004512890080067934
1408,64,0.9395713020709568,0.005921609437830427,0.005921609437830427,0.00469872615843678
1472,64,0.9062487117543551,0.006039486650520051,0.006039486650520051,0.004795504829395633
1536,64,0.8956737546183309,0.006049694730898296,0.006049694730898296,0.004798630968038136
1600,64,0.9120974208712291,0.006049449792169479,0.006049449792169479,0.004830374070336041
1664,64,0.9285960817628882,0.005930744994322504,0.005930744994322504,0.0047379415957647195
1728,64,0.9339225476154157,0.005817412223382319,0.005817412223382319,0.004618524155057843
1792,64,0.921636686836934,0.005768088170855415,0.005768088170855415,0.004559560575111825
